player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Carlos Gruezo,MF,Ecuador,27-243,1995,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-2.80,0.1,1.6,-1.5,-2.97,-4.03
Carlos Martínez,DF,Costa Rica,23-263,1999,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,3,-3,-6.00,-4.00,0.0,2.5,-2.5,-4.95,-2.46
Carlos Soler,MF,Spain,25-350,1997,2,92,46,23.6,1.0,0,,0,2,46,2,2.00,3,0,+3,+2.93,+2.03,1.6,0.5,+1.1,+1.61,+1.16
Casemiro,MF,Brazil,30-298,1992,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49
Celso Borges,MF,Costa Rica,34-205,1988,3,249,83,92.2,2.8,3,83,1,0,,0,1.00,3,8,-5,-1.81,+11.05,1.4,9.4,-7.9,-2.86,+0.44
Charles De Ketelaere,FW,Belgium,21-283,2001,1,16,16,5.9,0.2,0,,0,1,16,2,0.00,0,1,-1,-5.63,-5.63,0.0,0.4,-0.4,-2.40,-2.60
Charly Rodríguez,MF,Mexico,25-349,1997,2,34,17,12.6,0.4,0,,0,2,17,1,2.00,0,1,-1,-2.65,-2.65,0.5,0.8,-0.3,-0.79,-1.25
Cheikhou Kouyaté,MF,Senegal,32-362,1989,1,72,72,20.0,0.8,1,72,0,0,,0,0.00,0,0,0,0.00,+0.62,0.5,0.3,+0.2,+0.19,-0.08
Cho Guesung,FW,Korea Republic,24-327,1998,4,275,69,76.4,3.1,3,86,1,1,17,0,1.00,5,8,-3,-0.98,-0.98,4.0,6.4,-2.4,-0.79,-0.70
Cho Hyun-woo,GK,Korea Republic,31-084,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cho Yumin,FW,Korea Republic,26-031,1996,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,+0.75,0.0,0.0,0.0,0.00,+0.63
Chris Gunter,DF,Wales,33-150,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Chris Mepham,DF,Wales,25-043,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Christian Bassogog,MF,Cameroon,27-061,1995,1,24,24,8.9,0.3,0,,0,1,24,2,1.00,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.27,-0.54
Christian Eriksen,MF,Denmark,30-307,1992,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Christian Fassnacht,FW,Switzerland,29-037,1993,1,8,8,2.2,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,+1.02,0.2,0.1,+0.1,+1.33,+1.28
Christian Günter,DF,Germany,29-293,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Christian Nørgaard,MF,Denmark,28-283,1994,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,1,-1,-15.00,-14.66,0.0,0.7,-0.7,-10.09,-9.91
Christian Pulisic,FW,United States,24-091,1998,4,315,79,87.5,3.5,4,79,3,0,,0,1.25,3,4,-1,-0.29,-0.29,3.7,3.9,-0.2,-0.05,+0.15
Christopher Wooh,DF,Cameroon,21-091,2001,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,2.5,-2.0,-1.99,-1.80
Cody Gakpo,FW,Netherlands,23-225,1999,5,450,90,93.8,5.0,5,90,0,0,,0,2.20,9,4,+5,+1.00,-2.00,4.4,5.5,-1.1,-0.22,+0.94
Collins Fai,DF,Cameroon,30-127,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,
Connor Roberts,DF,Wales,27-086,1995,3,200,67,74.1,2.2,2,73,1,1,54,0,0.33,1,4,-3,-1.35,+1.22,2.5,3.4,-0.9,-0.41,+0.86
Conor Coady,DF,England,29-296,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Conor Gallagher,MF,England,22-315,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Craig Goodwin,MF,Australia,31-002,1991,4,234,59,65.0,2.6,3,67,0,1,33,0,1.50,3,4,-1,-0.38,+0.33,1.8,5.6,-3.8,-1.46,-0.65
Cristian Roldan,FW,United States,27-198,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cristian Romero,DF,Argentina,24-235,1998,7,547,78,79.3,6.1,6,88,4,1,22,0,2.00,14,6,+8,+1.32,+1.95,13.4,3.9,+9.5,+1.65,+1.09
Cristiano Ronaldo,FW,Portugal,37-316,1985,5,290,58,64.4,3.2,3,77,0,2,29,0,1.80,6,2,+4,+1.24,+0.12,4.2,3.2,+1.0,+0.30,+0.14
Cyle Larin,FW,Canada,27-245,1995,3,137,46,50.7,1.5,2,52,0,1,33,0,0.00,2,4,-2,-1.31,+0.72,1.1,1.7,-0.6,-0.39,-1.02
César Azpilicueta,DF,Spain,33-112,1989,2,135,68,34.6,1.5,2,68,1,0,,2,1.50,8,0,+8,+5.33,+6.04,4.3,0.1,+4.1,+2.77,+3.27
César Montes,DF,Mexico,25-297,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Daichi Kamada,FW,Japan,26-135,1996,4,322,81,82.6,3.6,4,81,2,0,,0,1.75,5,4,+1,+0.28,+0.28,4.5,4.9,-0.4,-0.12,+0.18
Daizen Maeda,FW,Japan,25-059,1997,3,180,60,46.2,2.0,3,60,0,0,,1,2.33,3,3,0,0.00,-0.43,2.3,3.3,-1.0,-0.52,-0.68
Daley Blind,DF,Netherlands,32-284,1990,5,423,85,88.1,4.7,5,85,4,0,,0,2.20,8,3,+5,+1.06,-0.52,4.2,4.8,-0.7,-0.14,+1.11
Damian Szymański,MF,Poland,27-185,1995,1,29,29,8.1,0.3,0,,0,1,29,3,0.00,0,1,-1,-3.10,-2.83,0.0,1.1,-1.1,-3.40,-2.95
Dani Alves,DF,Brazil,39-226,1983,2,118,59,24.6,1.3,1,90,1,1,28,3,1.50,0,2,-2,-1.53,-3.27,2.7,0.7,+2.1,+1.58,-0.37
Dani Carvajal,DF,Spain,30-341,1992,2,135,68,34.6,1.5,1,90,1,1,45,2,0.50,1,3,-2,-1.33,-4.16,0.9,2.6,-1.7,-1.12,-2.68
Dani Olmo,FW,Spain,24-225,1998,4,367,92,94.1,4.1,4,92,3,0,,0,1.25,9,3,+6,+1.47,+1.47,5.8,3.1,+2.7,+0.67,+0.60
Daniel Afriyie Barnieh,FW,Ghana,21-175,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Daniel Amartey,DF,Ghana,27-362,1994,3,251,84,93.0,2.8,3,84,2,0,,0,1.00,5,7,-2,-0.72,-0.72,4.1,5.6,-1.4,-0.48,
Daniel Chacón,MF,Costa Rica,21-251,2001,1,1,1,0.4,0.0,0,,0,1,1,2,3.00,0,0,0,0.00,+2.68,0.0,0.0,0.0,0.00,+2.91
Daniel James,FW,Wales,25-038,1997,3,154,51,57.0,1.7,2,61,0,1,33,0,0.33,0,6,-6,-3.51,-4.28,0.6,2.8,-2.2,-1.29,-1.55
Daniel Kyereh,MF,Ghana,26-285,1996,3,33,11,12.2,0.4,0,,0,3,11,0,1.00,0,0,0,0.00,+0.76,0.6,0.6,0.0,+0.02,+0.57
Daniel Schmidt,GK,Japan,30-318,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Daniel Wass,DF,Denmark,33-201,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Danilo,DF,Brazil,31-156,1991,3,281,94,58.5,3.1,3,94,2,0,,0,2.33,7,1,+6,+1.92,+2.37,8.2,1.2,+7.0,+2.52,+1.39
Danilo Pereira,DF,Portugal,31-100,1991,1,90,90,20.0,1.0,1,90,1,0,,0,3.00,3,2,+1,+1.00,-0.25,2.0,0.9,+1.1,+1.07,+1.03
Danlad Ibrahim,GK,Ghana,20-016,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Danny Vukovic,GK,Australia,37-266,1985,0,,,,,0,,0,0,,4,,,,,,,,,,,
Danny Ward,GK,Wales,29-179,1993,2,94,47,34.8,1.0,1,90,1,1,4,1,0.00,0,5,-5,-4.79,-4.79,0.4,2.9,-2.5,-2.35,-2.65
Darko Lazović,DF,Serbia,32-094,1990,1,25,25,9.3,0.3,0,,0,1,25,2,0.00,0,1,-1,-3.60,-2.87,0.2,0.5,-0.3,-1.18,+0.15
Darwin Núñez,FW,Uruguay,23-177,1999,3,240,80,88.9,2.7,3,80,1,0,,0,1.33,2,1,+1,+0.37,+3.37,3.0,2.0,+1.1,+0.40,+3.17
David Raum,DF,Germany,24-240,1998,3,242,81,89.6,2.7,3,81,1,0,,0,1.33,3,4,-1,-0.37,-6.80,6.6,2.9,+3.7,+1.39,-8.01
David Raya,FW,Spain,27-094,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
David Wotherspoon,MF,Canada,32-336,1990,1,15,15,5.6,0.2,0,,0,1,15,2,0.00,0,0,0,0.00,+1.76,0.0,0.0,0.0,0.00,-0.12
Davy Klaassen,MF,Netherlands,29-300,1993,4,190,48,39.6,2.1,3,59,0,1,12,1,2.50,7,1,+6,+2.84,+2.84,2.4,2.4,0.0,-0.01,+0.43
Dayne St. Clair,GK,Canada,25-223,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Dayot Upamecano,DF,France,24-052,1998,5,480,96,72.7,5.3,5,96,5,0,,2,2.60,14,7,+7,+1.31,+0.81,10.9,8.6,+2.3,+0.46,-0.15
DeAndre Yedlin,DF,United States,29-162,1993,2,33,17,9.2,0.4,0,,0,2,17,2,0.50,1,2,-1,-2.73,-2.73,0.5,1.6,-1.1,-3.03,-3.25
Declan Rice,MF,England,23-338,1999,5,417,83,92.7,4.6,5,83,4,0,,0,2.00,12,4,+8,+1.73,-1.00,7.5,3.8,+3.6,+0.79,-1.88
Dejan Lovren,DF,Croatia,33-166,1989,6,600,100,87.0,6.7,6,100,6,0,,1,1.17,6,6,0,0.00,-1.00,6.4,9.9,-3.5,-0.58,-0.26
Denis Odoi,DF,Ghana,34-205,1988,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.70,0.0,0.4,-0.4,-2.64,-2.27
Denis Zakaria,MF,Switzerland,26-028,1996,2,59,30,16.4,0.7,0,,0,2,30,2,1.50,1,3,-2,-3.05,-2.45,1.1,0.9,+0.3,+0.44,+0.43
Denzel Dumfries,DF,Netherlands,26-244,1996,5,479,96,99.8,5.3,5,96,4,0,,0,2.20,10,4,+6,+1.13,+1.13,4.6,6.1,-1.5,-0.29,-0.29
Derek Cornelius,DF,Canada,25-023,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Devis Epassy,GK,Cameroon,29-319,1993,2,180,90,66.7,2.0,2,90,2,0,,1,2.00,4,3,+1,+0.50,+1.50,2.7,4.3,-1.6,-0.82,-0.12
Diego Godín,DF,Uruguay,36-305,1986,2,151,76,55.9,1.7,2,76,1,0,,1,0.50,0,1,-1,-0.60,-1.35,1.3,1.0,+0.4,+0.23,+0.40
Diego Palacios,DF,Ecuador,23-159,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Diogo Costa,GK,Portugal,23-090,1999,5,450,90,100.0,5.0,5,90,5,0,,0,1.80,12,6,+6,+1.20,,7.8,6.5,+1.3,+0.25,
Diogo Dalot,DF,Portugal,23-275,1999,3,258,86,57.3,2.9,3,86,2,0,,2,1.00,7,4,+3,+1.05,-0.36,4.2,3.8,+0.5,+0.16,-0.21
Djibril Sow,MF,Switzerland,25-315,1997,4,264,66,73.3,2.9,4,66,0,0,,0,1.50,4,5,-1,-0.34,+2.47,4.3,4.1,+0.1,+0.04,-0.14
Djorkaeff Reasco,FW,Ecuador,23-334,1999,1,27,27,10.0,0.3,0,,0,1,27,2,0.00,1,1,0,0.00,-0.37,0.7,0.6,+0.1,+0.49,+0.11
Domagoj Vida,DF,Croatia,33-233,1989,0,,,,,0,,0,0,,6,,,,,,,,,,,
Dominik Livaković,GK,Croatia,27-343,1995,7,690,99,100.0,7.7,7,99,7,0,,0,1.43,8,7,+1,+0.13,,7.0,11.0,-4.0,-0.58,-0.58
Douglas López,MF,Costa Rica,24-088,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Dries Mertens,MF,Belgium,35-226,1987,2,76,38,28.1,0.8,1,45,0,1,31,1,0.50,0,2,-2,-2.37,-2.83,1.0,1.6,-0.6,-0.75,-1.12
Dušan Tadić,MF,Serbia,34-028,1988,3,257,86,95.2,2.9,3,86,2,0,,0,0.33,5,8,-3,-1.05,-1.05,3.3,7.0,-3.8,-1.32,-0.16
Dušan Vlahović,FW,Serbia,22-324,2000,2,79,40,29.3,0.9,1,54,0,1,25,1,0.00,2,4,-2,-2.28,-1.81,1.2,2.1,-0.9,-0.98,+0.47
Dylan Bronn,DF,Tunisia,27-182,1995,2,162,81,60.0,1.8,2,81,1,0,,1,0.50,0,1,-1,-0.56,-1.39,1.4,2.0,-0.6,-0.32,-0.38
Dylan Levitt,MF,Wales,22-031,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Eden Hazard,MF,Belgium,31-345,1991,3,124,41,45.9,1.4,2,60,0,1,4,0,1.33,1,0,+1,+0.73,+1.96,1.7,2.2,-0.5,-0.36,-0.77
Ederson,GK,Brazil,29-123,1993,1,90,90,18.8,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-2.38,2.5,0.5,+2.0,+1.99,+0.16
Edimilson Fernandes,FW,Switzerland,26-247,1996,3,145,48,40.3,1.6,1,90,1,2,28,1,1.00,1,7,-6,-3.72,-4.56,1.6,2.9,-1.3,-0.80,-1.47
Edinson Cavani,FW,Uruguay,35-307,1987,3,124,41,45.9,1.4,1,72,0,2,26,0,1.33,0,1,-1,-0.73,-1.34,1.3,1.1,+0.2,+0.15,+0.19
Edouard Mendy,GK,Senegal,30-292,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.6,3.5,+1.0,+0.26,
Edson Álvarez,MF,Mexico,25-055,1997,2,175,88,64.8,1.9,2,88,1,0,,1,2.00,2,0,+2,+1.03,+3.87,2.9,1.4,+1.4,+0.74,+1.25
Eduardo Camavinga,DF,France,20-038,2002,2,140,70,21.2,1.6,1,90,1,1,50,5,0.50,3,2,+1,+0.64,-0.57,2.9,2.1,+0.8,+0.67,+0.20
Ehsan Hajsafi,MF,IR Iran,32-296,1990,3,237,79,87.8,2.6,3,79,1,0,,0,1.00,2,7,-5,-1.90,-7.35,2.5,3.8,-1.3,-0.49,-1.46
Eiji Kawashima,GK,Japan,39-273,1983,0,,,,,0,,0,0,,4,,,,,,,,,,,
Elisha Owusu,MF,Ghana,25-041,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ellyes Skhiri,MF,Tunisia,27-222,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Emiliano Martínez,GK,Argentina,30-107,1992,7,690,99,100.0,7.7,7,99,7,0,,0,2.00,15,8,+7,+0.91,,15.2,4.6,+10.6,+1.51,+1.51
Enner Valencia,FW,Ecuador,33-044,1989,3,255,85,94.4,2.8,3,85,1,0,,0,1.33,4,3,+1,+0.35,+0.35,3.6,2.5,+1.1,+0.38,-0.20
Enzo Ebosse,DF,Cameroon,23-282,1999,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,2.5,-2.0,-1.99,-1.80
Enzo Fernández,MF,Argentina,21-335,2001,7,564,81,81.7,6.3,5,100,4,2,33,0,2.00,14,6,+8,+1.28,+1.99,13.5,4.2,+9.3,+1.66,+1.06
Eray Cömert,DF,Switzerland,24-317,1998,2,46,23,12.8,0.5,0,,0,2,23,2,1.50,1,4,-3,-5.87,-5.58,1.0,1.3,-0.2,-0.46,-0.61
Eric Dier,DF,England,28-337,1994,2,36,18,8.0,0.4,0,,0,2,18,3,3.00,2,1,+1,+2.50,+0.76,1.3,1.2,0.0,+0.09,-0.91
Eric García,DF,Spain,21-343,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,1989,3,253,84,93.7,2.8,3,84,2,0,,0,1.33,4,4,0,0.00,0.00,3.4,5.5,-2.1,-0.75,+0.50
Erick Gutiérrez,MF,Mexico,27-186,1995,1,49,49,18.1,0.5,0,,0,1,49,2,0.00,0,2,-2,-3.67,-4.08,0.1,0.2,-0.2,-0.29,-0.72
Esteban Alvarado,GK,Costa Rica,33-234,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ethan Ampadu,MF,Wales,22-095,2000,3,255,85,94.4,2.8,3,85,1,0,,0,0.33,1,4,-3,-1.06,+10.94,2.5,4.1,-1.6,-0.57,+1.00
Ethan Horvath,GK,United States,27-192,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Everton Ribeiro,MF,Brazil,33-252,1989,1,36,36,7.5,0.4,0,,0,1,36,4,0.00,0,1,-1,-2.50,-3.72,1.3,0.2,+1.1,+2.77,+0.98
Exequiel Palacios,MF,Argentina,24-074,1998,3,50,17,7.2,0.6,0,,0,3,17,4,3.00,1,0,+1,+1.80,+0.96,1.2,0.6,+0.6,+1.05,-0.36
Fabian Frei,MF,Switzerland,33-344,1989,2,25,13,6.9,0.3,0,,0,2,13,2,1.50,0,0,0,0.00,+1.07,0.2,0.3,0.0,-0.13,-0.22
Fabian Rieder,FW,Switzerland,20-305,2002,2,68,34,18.9,0.8,1,58,0,1,10,2,1.50,0,0,0,0.00,+1.23,0.4,0.5,-0.1,-0.16,-0.29
Fabian Schär,DF,Switzerland,30-363,1991,2,135,68,37.5,1.5,2,68,1,0,,2,1.50,3,4,-1,-0.67,+0.53,3.1,2.3,+0.8,+0.51,+0.68
Fabinho,MF,Brazil,29-056,1993,1,90,90,18.8,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-2.38,2.5,0.5,+2.0,+1.99,+0.16
Facundo Pellistri,MF,Uruguay,20-363,2001,3,181,60,67.0,2.0,2,76,0,1,29,0,1.33,2,1,+1,+0.50,+1.51,2.7,2.5,+0.2,+0.09,+0.13
Facundo Torres,FW,Uruguay,22-249,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Famara Diedhiou,FW,Senegal,30-003,1992,2,92,46,25.6,1.0,1,73,0,1,19,2,1.50,2,0,+2,+1.96,+3.30,0.8,0.9,-0.1,-0.13,-0.52
Federico Valverde,MF,Uruguay,24-149,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
Ferjani Sassi,MF,Tunisia,30-275,1992,2,48,24,17.8,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.6,0.3,+0.3,+0.51,+0.82
Fernando Muslera,GK,Uruguay,36-185,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ferrán Torres,FW,Spain,22-292,2000,4,217,54,55.6,2.4,3,61,0,1,34,0,1.25,4,0,+4,+1.66,+0.62,3.4,0.6,+2.7,+1.13,+1.12
Filip Kostić,DF,Serbia,30-047,1992,2,179,90,66.3,2.0,2,90,1,0,,1,0.50,5,6,-1,-0.50,+1.48,3.2,4.9,-1.7,-0.86,+1.36
Filip Mladenović,DF,Serbia,31-125,1991,1,65,65,24.1,0.7,1,65,0,0,,2,0.00,0,1,-1,-1.38,-0.51,0.0,1.9,-1.9,-2.64,-1.75
Filip Đuričić,MF,Serbia,30-322,1992,2,14,7,5.2,0.2,0,,0,2,7,1,0.50,0,0,0,0.00,+1.05,0.1,0.3,-0.2,-1.12,+0.21
Firas Al-Buraikan,MF,Saudi Arabia,22-218,2000,3,268,89,99.3,3.0,3,89,2,0,,0,1.00,3,5,-2,-0.67,-0.67,3.0,5.9,-3.0,-0.99,+2.19
Fodé Ballo-Touré,DF,Senegal,25-349,1997,1,7,7,1.9,0.1,0,,0,1,7,1,0.00,0,0,0,0.00,+0.51,0.1,0.2,-0.1,-1.09,-1.37
Formose Mendy,DF,Senegal,21-350,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Fran Karačić,DF,Australia,26-220,1996,2,93,47,25.8,1.0,1,74,0,1,19,2,1.50,2,0,+2,+1.94,+3.28,1.1,1.6,-0.4,-0.41,+1.10
Francisco Calvo,DF,Costa Rica,30-163,1992,2,180,90,66.7,2.0,2,90,2,0,,0,1.50,1,7,-6,-3.00,-1.00,0.1,4.4,-4.3,-2.15,+2.25
Franco Armani,GK,Argentina,36-063,1986,0,,,,,0,,0,0,,7,,,,,,,,,,,
Fred,MF,Brazil,29-288,1993,4,142,36,29.6,1.6,2,56,0,2,16,1,1.75,0,1,-1,-0.63,-2.23,2.1,0.6,+1.5,+1.05,-1.10
Frederik Rønnow,GK,Denmark,30-136,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Frenkie de Jong,MF,Netherlands,25-220,1997,5,475,95,99.0,5.3,5,95,4,0,,0,2.20,10,4,+6,+1.14,+1.14,4.6,6.0,-1.5,-0.30,-0.31
Félix Torres Caicedo,DF,Ecuador,25-341,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Gabriel Jesus,FW,Brazil,25-259,1997,3,93,31,19.4,1.0,1,63,0,2,15,0,2.00,1,0,+1,+0.97,+0.04,1.8,0.3,+1.5,+1.49,-0.46
Gaku Shibasaki,MF,Japan,30-204,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Garang Kuol,FW,Australia,18-094,2004,2,37,19,10.3,0.4,0,,0,2,19,2,0.00,1,0,+1,+2.43,+3.27,0.5,1.3,-0.7,-1.81,-0.65
Gareth Bale,FW,Wales,33-155,1989,3,225,75,83.3,2.5,3,75,2,0,,0,0.33,1,3,-2,-0.80,+5.20,2.5,3.1,-0.6,-0.24,+2.34
Gavi,MF,Spain,18-135,2004,4,284,71,72.8,3.2,4,71,1,0,,0,1.25,9,2,+7,+2.22,+3.07,5.1,1.6,+3.5,+1.11,+1.76
Gaël Ondoua,MF,Cameroon,27-044,1995,2,47,24,17.4,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.1,0.6,-0.6,-1.10,-0.39
Georges-Kévin N'Koudou,FW,Cameroon,27-308,1995,2,27,14,10.0,0.3,0,,0,2,14,1,0.50,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.06,-0.31
Gerardo Arteaga,DF,Mexico,24-102,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Germán Pezzella,DF,Argentina,31-174,1991,3,60,20,8.7,0.7,0,,0,3,20,4,1.67,0,3,-3,-4.50,-5.93,1.2,1.5,-0.4,-1.30,-2.78
Gerson Torres,MF,Costa Rica,25-112,1997,1,64,64,23.7,0.7,1,64,0,0,,2,3.00,0,0,0,0.00,+3.50,0.0,0.5,-0.4,-0.61,+2.99
Gerónimo Rulli,GK,Argentina,30-212,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,
