player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Ghaylène Chaalali,MF,Tunisia,28-293,1994,1,17,17,6.3,0.2,0,,0,1,17,2,3.00,0,0,0,0.00,0.00,0.0,0.6,-0.6,-3.19,-3.22
Gideon Mensah,DF,Ghana,24-153,1998,1,87,87,32.2,1.0,1,87,0,0,,2,3.00,3,2,+1,+1.03,+2.51,1.6,1.5,+0.2,+0.17,+0.96
Gio Reyna,FW,United States,20-035,2002,2,53,27,14.7,0.6,0,,0,2,27,2,0.50,1,1,0,0.00,+0.29,1.0,1.5,-0.5,-0.90,-0.96
Giorgian De Arrascaeta,MF,Uruguay,28-200,1994,2,108,54,40.0,1.2,1,79,0,1,29,1,1.50,2,1,+1,+0.83,+1.39,2.2,2.0,+0.2,+0.13,+0.13
Gleison Bremer,DF,Brazil,25-275,1997,2,109,55,22.7,1.2,1,90,1,1,19,3,1.50,0,2,-2,-1.65,-3.35,2.7,0.6,+2.2,+1.78,-0.11
Gonzalo Montiel,DF,Argentina,25-351,1997,4,118,30,17.1,1.3,1,62,0,3,19,2,2.00,1,1,0,0.00,-1.10,2.9,1.9,+1.0,+1.19,-0.21
Gonzalo Plata,MF,Ecuador,22-047,2000,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,4,3,+1,+0.33,+0.33,3.7,2.6,+1.1,+0.37,-5.44
Gonçalo Ramos,FW,Portugal,21-181,2001,4,152,38,33.8,1.7,2,70,0,2,6,1,2.25,6,3,+3,+1.78,+0.87,3.7,2.4,+1.3,+0.76,+0.76
Granit Xhaka,MF,Switzerland,30-082,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,9,-4,-1.00,,5.6,5.3,+0.3,+0.08,
Gregor Kobel,GK,Switzerland,25-012,1997,1,90,90,25.0,1.0,1,90,1,0,,3,3.00,3,2,+1,+1.00,+2.67,2.7,1.3,+1.4,+1.37,+1.73
Grzegorz Krychowiak,MF,Poland,32-323,1990,4,332,83,92.2,3.7,4,83,2,0,,0,1.00,2,3,-1,-0.27,+2.94,3.5,6.5,-3.0,-0.81,-1.62
Guido Rodríguez,MF,Argentina,28-250,1994,1,56,56,8.1,0.6,1,56,0,0,,6,3.00,0,0,0,0.00,-0.99,0.2,0.3,-0.1,-0.16,-1.67
Guillermo Ochoa,GK,Mexico,37-158,1985,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Guillermo Varela,DF,Uruguay,29-269,1993,3,183,61,67.8,2.0,2,90,2,1,3,0,1.33,2,2,0,0.00,0.00,3.1,3.0,+0.2,+0.08,+0.08
Haji Wright,FW,United States,24-266,1998,4,137,34,38.1,1.5,1,82,0,3,18,0,1.25,1,2,-1,-0.66,-0.66,1.4,2.8,-1.4,-0.94,-1.40
Hakim Ziyech,FW,Morocco,29-274,1993,7,635,91,96.2,7.1,7,91,5,0,,0,1.57,6,5,+1,+0.14,+0.14,6.0,7.2,-1.1,-0.17,-0.72
Hannibal Mejbri,MF,Tunisia,19-331,2003,1,11,11,4.1,0.1,0,,0,1,11,2,1.00,0,0,0,0.00,0.00,0.0,0.2,-0.2,-1.46,-1.35
Hans Vanaken,MF,Belgium,30-116,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Haris Seferović,FW,Switzerland,30-299,1992,3,71,24,19.7,0.8,0,,0,3,24,1,1.00,1,4,-3,-3.80,-3.49,1.1,1.0,+0.1,+0.06,-0.02
Harry Kane,FW,England,29-143,1993,5,402,80,89.3,4.5,5,80,3,0,,0,2.00,11,3,+8,+1.79,-0.08,6.8,2.8,+3.9,+0.88,-0.40
Harry Maguire,DF,England,29-288,1993,5,429,86,95.3,4.8,5,86,4,0,,0,2.00,11,3,+8,+1.68,-2.61,7.6,3.0,+4.5,+0.95,+0.64
Harry Souttar,DF,Australia,24-057,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Harry Wilson,MF,Wales,25-271,1997,3,160,53,59.3,1.8,2,73,0,1,14,0,0.33,1,1,0,0.00,+4.09,2.3,2.4,-0.2,-0.09,+1.31
Hassan Al Tambakti,DF,Saudi Arabia,23-312,1999,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,3,3,0,0.00,+2.00,1.3,4.5,-3.2,-1.60,-1.76
Hassan Al-Haydos,MF,Qatar,32-007,1990,3,206,69,76.3,2.3,3,69,0,0,,0,0.00,0,6,-6,-2.62,-2.62,1.1,3.2,-2.1,-0.94,-0.96
Hattan Bahebri,MF,Saudi Arabia,30-155,1992,2,4,2,1.5,0.0,0,,0,2,2,1,0.00,1,0,+1,+22.50,+23.52,0.7,0.2,+0.5,+11.39,+12.59
Henry Martín,FW,Mexico,30-030,1992,2,146,73,54.1,1.6,2,73,0,0,,1,2.00,2,0,+2,+1.23,+3.41,2.5,1.3,+1.3,+0.77,+1.03
Hernán Galíndez,GK,Ecuador,35-263,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Hidemasa Morita,MF,Japan,27-222,1995,3,285,95,73.1,3.2,3,95,2,0,,1,1.33,3,3,0,0.00,-0.86,3.5,2.4,+1.2,+0.37,+1.94
Hiroki Ito,DF,Japan,23-220,1999,1,45,45,11.5,0.5,0,,0,1,45,3,0.00,0,1,-1,-2.00,-2.52,0.8,0.1,+0.8,+1.55,+1.93
Hiroki Sakai,MF,Japan,32-250,1990,2,119,60,30.5,1.3,1,73,0,1,46,2,2.00,0,1,-1,-0.76,-1.42,1.2,3.0,-1.8,-1.87,-2.22
Hirving Lozano,FW,Mexico,27-141,1995,3,252,84,93.3,2.8,3,84,2,0,,0,1.33,2,2,0,0.00,+5.00,3.3,2.3,+0.9,+0.34,+0.55
Homam Ahmed,DF,Qatar,23-115,1999,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22
Hong Chul,DF,Korea Republic,32-092,1990,1,45,45,12.5,0.5,0,,0,1,45,3,0.00,1,0,+1,+2.00,+3.14,0.3,0.8,-0.5,-1.06,-0.49
Hossein Hosseini,GK,IR Iran,30-171,1992,2,161,81,59.6,1.8,1,90,1,1,71,1,1.50,4,6,-2,-1.12,-0.29,2.8,2.9,-0.1,-0.05,+0.66
Hossein Kanaanizadegan,DF,IR Iran,28-270,1994,1,45,45,16.7,0.5,0,,0,1,45,1,0.00,2,4,-2,-4.00,-3.60,1.2,1.3,-0.1,-0.17,+0.18
Hugo Guillamón,DF,Spain,22-321,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Hugo Lloris,GK,France,35-357,1986,6,570,95,86.4,6.3,6,95,6,0,,1,2.67,16,7,+9,+1.42,+2.42,13.0,9.6,+3.4,+0.57,+0.34
Hwang Hee-chan,MF,Korea Republic,26-326,1996,2,115,58,31.9,1.3,1,90,1,1,25,2,1.50,2,4,-2,-1.57,-1.20,1.4,3.7,-2.3,-1.78,-1.70
Hwang In-beom,MF,Korea Republic,26-089,1996,4,334,84,92.8,3.7,4,84,3,0,,0,1.00,4,8,-4,-1.08,-4.54,4.4,6.8,-2.4,-0.66,-0.36
Hwang Ui-jo,FW,Korea Republic,30-112,1992,4,106,27,29.4,1.2,1,73,0,3,11,0,1.00,1,0,+1,+0.85,+2.27,1.7,0.7,+0.9,+0.78,+2.00
Héctor Herrera,MF,Mexico,32-243,1990,2,160,80,59.3,1.8,2,80,1,0,,1,0.50,0,2,-2,-1.13,-1.94,0.9,1.2,-0.2,-0.14,-1.07
Héctor Moreno,DF,Mexico,34-335,1988,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Ibrahima Konaté,DF,France,23-207,1999,5,294,59,44.5,3.3,3,90,3,2,12,2,2.00,8,2,+6,+1.84,+1.34,9.0,2.3,+6.6,+2.09,+2.79
Idrissa Gana Gueye,MF,Senegal,33-083,1989,3,270,90,75.0,3.0,3,90,3,0,,0,2.00,5,4,+1,+0.33,+3.33,3.8,2.5,+1.3,+0.43,+0.67
Ike Ugbo,FW,Canada,24-088,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ilias Chair,MF,Morocco,25-049,1997,1,45,45,6.8,0.5,0,,0,1,45,6,0.00,0,0,0,0.00,-0.15,0.4,0.3,+0.1,+0.16,+0.29
Iliman Ndiaye,FW,Senegal,22-287,2000,3,135,45,37.5,1.5,2,60,0,1,16,1,2.00,3,4,-1,-0.67,-0.27,2.7,1.6,+1.1,+0.75,+0.79
Ismail Jakobs,DF,Senegal,23-123,1999,4,278,70,77.2,3.1,3,83,1,1,29,0,1.50,4,6,-2,-0.65,-0.65,3.9,2.7,+1.2,+0.38,+0.52
Ismail Mohamad,FW,Qatar,32-257,1990,2,174,87,64.4,1.9,2,87,1,0,,1,0.00,1,5,-4,-2.07,-0.19,,,,,
Ismaila Sarr,FW,Senegal,24-296,1998,4,344,86,95.6,3.8,4,86,3,0,,0,1.50,4,6,-2,-0.52,-0.52,4.3,3.3,+1.0,+0.27,+0.30
Ismaël Koné,MF,Canada,20-195,2002,3,109,36,40.4,1.2,0,,0,3,36,0,0.00,0,2,-2,-1.65,+0.03,1.5,2.0,-0.5,-0.41,-0.87
Issam Jebali,FW,Tunisia,30-358,1991,3,182,61,67.4,2.0,2,76,0,1,31,0,1.33,0,1,-1,-0.49,-1.52,1.4,2.4,-1.0,-0.49,-1.00
Ivan Ilić,MF,Serbia,21-276,2001,1,34,34,12.6,0.4,0,,0,1,34,2,0.00,0,2,-2,-5.29,-4.91,0.2,1.4,-1.2,-3.18,-2.13
Ivan Perišić,FW,Croatia,33-319,1989,7,669,96,97.0,7.4,7,96,4,0,,0,1.43,7,7,0,0.00,-4.29,6.2,11.0,-4.8,-0.68,-2.07
Ivica Ivušić,GK,Croatia,27-320,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,
Ivo Grbić,GK,Croatia,26-334,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,
Iñaki Williams,FW,Ghana,28-186,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,3.5,5.4,-1.8,-0.66,-2.61
Jack Grealish,FW,England,27-099,1995,5,86,17,19.1,1.0,0,,0,5,17,0,2.00,2,1,+1,+1.05,-0.93,2.5,1.4,+1.1,+1.16,+0.28
Jackson Irvine,MF,Australia,29-286,1993,4,354,89,98.3,3.9,4,89,3,0,,0,1.50,4,6,-2,-0.51,-0.51,2.3,6.9,-4.6,-1.17,+3.76
Jackson Porozo,DF,Ecuador,22-136,2000,2,96,48,35.6,1.1,1,90,1,1,6,1,0.50,1,1,0,0.00,-0.52,1.8,0.1,+1.6,+1.55,+1.79
Jakub Kamiński,MF,Poland,20-196,2002,4,233,58,64.7,2.6,2,80,1,2,37,0,1.00,1,3,-2,-0.77,-0.77,3.0,3.8,-0.8,-0.31,+1.07
Jakub Kiwior,DF,Poland,22-306,2000,4,355,89,98.6,3.9,4,89,3,0,,0,1.00,2,4,-2,-0.51,-0.51,3.6,7.3,-3.7,-0.93,-21.53
Jamal Musiala,MF,Germany,19-295,2003,3,258,86,95.6,2.9,3,86,2,0,,0,1.33,6,4,+2,+0.70,+8.20,9.5,3.3,+6.2,+2.17,-1.02
James Maddison,FW,England,26-025,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
James Pantemis,GK,Canada,25-300,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jamie Maclaren,FW,Australia,29-142,1993,3,55,18,15.3,0.6,0,,0,3,18,1,2.00,1,0,+1,+1.64,+2.52,0.6,1.6,-1.0,-1.55,-0.39
Jan Bednarek,DF,Poland,26-250,1996,1,5,5,1.4,0.1,0,,0,1,5,3,0.00,1,1,0,0.00,+0.51,1.0,0.0,+0.9,+20.60,+21.53
Jan Vertonghen,DF,Belgium,35-238,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Jason Cummings,FW,Australia,27-139,1995,1,35,35,9.7,0.4,0,,0,1,35,3,0.00,0,2,-2,-5.14,-5.14,0.0,1.6,-1.6,-4.22,-3.31
Jassem Gaber,DF,Qatar,20-301,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jawad El Yamiq,DF,Morocco,30-292,1992,6,309,52,46.8,3.4,3,82,2,3,21,1,1.67,3,4,-1,-0.29,-0.80,4.1,4.0,+0.1,+0.04,+0.26
Jean-Charles Castelletto,DF,Cameroon,27-326,1995,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80
Jean-Pierre Nsame,FW,Cameroon,29-231,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jens Stryger Larsen,DF,Denmark,31-300,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jeong Woo-yeong,MF,Korea Republic,23-089,1999,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-3.71,0.4,1.2,-0.8,-1.66,-1.18
Jeremie Frimpong,DF,Netherlands,22-008,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Jeremy Doku,MF,Belgium,20-205,2002,1,19,19,7.0,0.2,0,,0,1,19,2,1.00,0,0,0,0.00,+0.36,1.0,0.0,+1.0,+4.88,+5.19
Jeremy Sarmiento,MF,Ecuador,20-185,2002,3,85,28,31.5,0.9,0,,0,3,28,0,1.33,1,1,0,0.00,-0.49,0.9,0.6,+0.3,+0.32,-0.10
Jerome Ngom Mbekeli,MF,Cameroon,24-079,1998,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,1,0,+1,+18.00,+18.34,0.1,1.0,-0.9,-15.50,-14.99
Jesper Lindstrøm,MF,Denmark,22-292,2000,3,200,67,74.1,2.2,2,87,1,1,26,0,0.33,1,2,-1,-0.45,+0.84,2.3,2.3,0.0,+0.02,+1.58
Jesús Ferreira,FW,United States,21-359,2000,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-4.29,0.5,0.4,+0.1,+0.16,+0.27
Jesús Gallardo,DF,Mexico,28-125,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Jewison Bennette,MF,Costa Rica,18-186,2004,3,103,34,38.1,1.1,1,60,0,2,22,0,1.00,1,6,-5,-4.37,-2.75,0.1,5.8,-5.7,-4.97,-3.35
Jhegson Méndez,MF,Ecuador,25-236,1997,2,180,90,66.7,2.0,2,90,2,0,,0,2.00,3,1,+2,+1.00,+2.00,2.9,0.4,+2.4,+1.22,+2.48
Joachim Andersen,DF,Denmark,26-201,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Joakim Mæhle,DF,Denmark,25-212,1997,3,249,83,92.2,2.8,3,83,2,0,,0,0.33,1,3,-2,-0.72,-0.72,2.5,3.8,-1.3,-0.49,-1.19
Joe Allen,MF,Wales,32-279,1990,2,94,47,34.8,1.0,1,80,0,1,14,1,0.00,0,5,-5,-4.79,-4.79,0.4,2.6,-2.2,-2.06,-2.20
Joe Morrell,MF,Wales,25-349,1997,2,33,17,12.2,0.4,0,,0,2,17,1,0.50,0,1,-1,-2.73,-1.21,0.2,1.2,-1.0,-2.66,-2.32
Joe Rodon,DF,Wales,25-057,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Joe Scally,DF,United States,19-352,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Campbell,FW,Costa Rica,30-175,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,10.1,-8.7,-2.91,-2.91
Joel King,DF,Australia,22-049,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Waterman,DF,Canada,26-328,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Johan Venegas,FW,Costa Rica,34-021,1988,1,73,73,27.0,0.8,1,73,0,0,,2,0.00,2,2,0,0.00,+3.65,1.3,3.0,-1.7,-2.11,+1.08
Johan Vásquez,DF,Mexico,24-057,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
John Stones,DF,England,28-204,1994,5,434,87,96.4,4.8,5,87,3,0,,0,2.00,13,4,+9,+1.87,+1.87,8.4,3.8,+4.6,+0.95,+0.70
Jonas Hofmann,FW,Germany,30-157,1992,2,30,15,11.1,0.3,0,,0,2,15,1,0.50,0,2,-2,-6.00,-7.12,1.1,1.1,0.0,-0.06,-2.56
Jonas Omlin,GK,Switzerland,28-342,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jonas Wind,FW,Denmark,23-314,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jonathan David,FW,Canada,22-338,2000,3,192,64,71.1,2.1,2,81,1,1,31,0,0.00,1,4,-3,-1.41,+0.90,3.6,2.4,+1.2,+0.56,+1.54
Jonathan Osorio,MF,Canada,30-189,1992,3,119,40,44.1,1.3,1,64,0,2,28,0,0.00,1,4,-3,-2.27,-1.08,1.0,2.4,-1.4,-1.08,-2.13
Jonny Williams,FW,Wales,29-070,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordan Ayew,FW,Ghana,31-098,1991,3,136,45,50.4,1.5,2,61,0,1,14,0,1.00,4,6,-2,-1.32,-1.32,3.0,3.3,-0.4,-0.26,+0.44
Jordan Henderson,MF,England,32-184,1990,4,271,68,60.2,3.0,3,83,1,1,22,1,1.75,7,2,+5,+1.66,-0.35,5.0,1.8,+3.1,+1.04,+0.29
Jordan Morris,FW,United States,28-053,1994,2,4,2,1.1,0.0,0,,0,2,2,2,0.50,0,0,0,0.00,+0.25,0.1,0.1,0.0,+0.18,+0.25
Jordan Pickford,GK,England,28-286,1994,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,13,4,+9,+1.80,,8.7,4.0,+4.6,+0.92,
Jordan Veretout,MF,France,29-292,1993,1,62,62,9.4,0.7,1,62,0,0,,6,0.00,0,1,-1,-1.45,-2.81,0.2,0.5,-0.3,-0.44,-1.04
Jordi Alba,DF,Spain,33-272,1989,4,264,66,67.7,2.9,3,80,0,1,23,0,1.25,5,0,+5,+1.70,+0.99,4.3,1.7,+2.5,+0.86,+0.70
Jorge Eduardo Sánchez,DF,Mexico,25-008,1997,2,175,88,64.8,1.9,2,88,1,0,,1,2.00,2,0,+2,+1.03,+3.87,2.9,1.4,+1.4,+0.74,+1.25
Joseph Aidoo,DF,Ghana,27-080,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Josh Sargent,FW,United States,22-301,2000,3,157,52,43.6,1.7,2,75,0,1,8,1,1.67,2,0,+2,+1.15,+2.48,1.7,1.1,+0.6,+0.36,+0.77
Joshua Kimmich,MF,Germany,27-313,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Josip Juranović,DF,Croatia,27-124,1995,6,600,100,87.0,6.7,6,100,6,0,,1,1.17,6,6,0,0.00,-1.00,6.4,9.9,-3.5,-0.58,-0.26
Josip Stanišić,DF,Croatia,22-260,2000,1,90,90,13.0,1.0,1,90,1,0,,5,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01
Josip Šutalo,DF,Croatia,22-293,2000,1,90,90,13.0,1.0,1,90,1,0,,6,3.00,2,1,+1,+1.00,+1.00,0.7,1.2,-0.5,-0.53,-0.01
José Cifuentes,MF,Ecuador,23-281,1999,2,59,30,21.9,0.7,0,,0,2,30,1,1.50,1,1,0,0.00,-0.43,0.8,0.6,+0.3,+0.39,-0.01
José Luis Rodríguez Bebanz,DF,Uruguay,25-279,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
José María Giménez,DF,Uruguay,27-332,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
José Sá,GK,Portugal,29-335,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
João Cancelo,DF,Portugal,28-205,1994,4,310,78,68.9,3.4,3,90,3,1,40,1,1.50,6,4,+2,+0.58,-1.99,5.3,4.5,+0.8,+0.22,-0.11
João Félix,FW,Portugal,23-038,1999,4,331,83,73.6,3.7,4,83,1,0,,1,2.25,9,3,+6,+1.63,+1.63,5.4,4.2,+1.1,+0.31,+0.21
João Mário,FW,Portugal,29-333,1993,2,84,42,18.7,0.9,1,81,0,1,3,3,1.50,1,2,-1,-1.07,-2.79,1.3,1.5,-0.2,-0.23,-0.59
João Palhinha,MF,Portugal,27-162,1995,3,38,13,8.4,0.4,0,,0,3,13,2,2.00,1,2,-1,-2.37,-3.90,1.1,1.4,-0.2,-0.57,-0.90
Joško Gvardiol,DF,Croatia,20-329,2002,7,690,99,100.0,7.7,7,99,7,0,,0,1.43,8,7,+1,+0.13,,7.0,11.0,-4.0,-0.58,-0.58
Juan Foyth,DF,Argentina,24-340,1998,1,5,5,0.7,0.1,0,,0,1,5,6,3.00,0,0,0,0.00,-0.92,0.0,0.1,-0.1,-1.78,-3.18
Juan Pablo Vargas,DF,Costa Rica,27-195,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,4,-2,-2.00,+1.00,1.3,5.7,-4.4,-4.40,-2.25
Jude Bellingham,MF,England,19-172,2003,5,414,83,92.0,4.6,5,83,3,0,,0,2.00,13,4,+9,+1.96,+1.96,8.2,3.8,+4.4,+0.96,+0.45
Jules Koundé,DF,France,24-036,1998,6,480,80,72.7,5.3,5,96,3,1,2,1,2.67,12,5,+7,+1.31,+0.81,9.0,7.8,+1.2,+0.22,-1.06
Julian Brandt,FW,Germany,26-230,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Julián Álvarez,FW,Argentina,22-321,2000,7,464,66,67.2,5.2,5,81,0,2,30,0,2.00,13,2,+11,+2.13,+3.73,10.5,2.0,+8.5,+1.66,+0.85
Jung Woo-young,MF,Korea Republic,33-004,1989,4,303,76,84.2,3.4,4,76,2,0,,0,1.00,4,8,-4,-1.19,-2.77,3.9,6.3,-2.4,-0.70,-0.47
Junior Hoilett,FW,Canada,32-196,1990,3,161,54,59.6,1.8,2,66,0,1,29,0,0.00,1,5,-4,-2.24,-1.41,3.5,2.5,+1.0,+0.57,+1.13
Junya Ito,MF,Japan,29-284,1993,4,324,81,83.1,3.6,3,100,3,1,24,0,1.75,5,4,+1,+0.28,+0.28,4.5,5.6,-1.1,-0.34,-0.75
Jurriën Timber,DF,Netherlands,21-184,2001,4,390,98,81.3,4.3,4,98,4,0,,1,2.00,8,4,+4,+0.92,-1.08,3.9,5.2,-1.2,-0.31,-0.15
Justin Bijlow,GK,Netherlands,24-330,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Kai Havertz,FW,Germany,23-190,1999,2,102,51,37.8,1.1,1,78,0,1,24,1,1.50,4,2,+2,+1.76,+2.30,6.0,1.9,+4.1,+3.59,+2.22
