player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Salem Al-Dawsari,MF,Saudi Arabia,31-121,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,
Salem Al-Hajri,MF,Qatar,26-252,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Salis Abdul Samed,MF,Ghana,22-267,2000,3,250,83,92.6,2.8,3,83,1,0,,0,1.00,5,7,-2,-0.72,-0.72,3.5,5.3,-1.8,-0.66,-2.41
Salman Al-Faraj,MF,Saudi Arabia,33-139,1989,1,44,44,16.3,0.5,1,44,0,0,,0,3.00,0,1,-1,-2.05,-1.65,0.0,1.0,-1.0,-2.09,-1.29
Sam Adekugbe,DF,Canada,27-336,1995,3,95,32,35.2,1.1,1,59,0,2,18,0,0.00,1,3,-2,-1.89,-0.35,1.0,1.7,-0.8,-0.74,-1.31
Saman Ghoddos,MF,IR Iran,29-103,1993,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,0,0,0.00,+1.20,0.4,0.3,+0.1,+0.21,+0.63
Sami Al-Najei,MF,Saudi Arabia,25-314,1997,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-1.60,0.9,0.3,+0.6,+1.24,+2.69
Samuel Oum Gouet,MF,Cameroon,25-005,1997,2,100,50,37.0,1.1,1,90,1,1,10,1,0.50,0,1,-1,-0.90,-1.43,0.8,1.6,-0.8,-0.71,+0.12
Samuel Piette,MF,Canada,28-036,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sardar Azmoun,FW,IR Iran,27-351,1995,3,126,42,46.7,1.4,2,56,0,1,14,0,1.00,1,2,-1,-0.71,+0.54,1.7,2.2,-0.5,-0.37,-0.10
Saud Abdulhamid,DF,Saudi Arabia,23-153,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,
Saša Lukić,MF,Serbia,26-127,1996,3,245,82,90.7,2.7,3,82,2,0,,0,0.33,5,7,-2,-0.73,+2.87,3.2,6.8,-3.6,-1.33,-0.15
Sean Johnson,GK,United States,33-201,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
Sebastian Szymański,MF,Poland,23-222,1999,2,134,67,37.2,1.5,2,67,0,0,,2,0.50,0,1,-1,-0.67,-0.27,1.6,1.7,-0.2,-0.12,+0.90
Sebastián Coates,DF,Uruguay,32-072,1990,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,2,2,0,0.00,0.00,3.1,2.9,+0.2,+0.10,+0.14
Sebastián Sosa,GK,Uruguay,36-121,1986,0,,,,,0,,0,0,,3,,,,,,,,,,,
Seifeddine Jaziri,FW,Tunisia,29-309,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Selim Amallah,MF,Morocco,26-033,1996,7,409,58,62.0,4.5,4,75,1,3,36,0,1.57,1,0,+1,+0.22,+0.22,2.2,4.4,-2.2,-0.48,-0.98
Seny Dieng,GK,Senegal,28-025,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Serge Gnabry,FW,Germany,27-157,1995,3,263,88,97.4,2.9,3,88,1,0,,0,1.33,6,5,+1,+0.34,+0.34,9.8,3.4,+6.4,+2.19,-1.25
Sergej Milinković-Savić,MF,Serbia,27-294,1995,3,233,78,86.3,2.6,3,78,1,0,,0,0.33,5,8,-3,-1.16,-1.16,3.1,7.0,-3.9,-1.51,-1.42
Sergio Busquets,MF,Spain,34-155,1988,4,363,91,93.1,4.0,4,91,3,0,,0,1.25,6,3,+3,+0.74,-9.26,5.3,3.4,+1.9,+0.52,-0.75
Sergio Rochet,GK,Uruguay,29-270,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
Sergiño Dest,DF,United States,22-045,2000,4,305,76,84.7,3.4,4,76,0,0,,0,1.25,2,2,0,0.00,+1.64,3.4,2.2,+1.2,+0.34,+2.71
Shaquell Moore,DF,United States,26-046,1996,2,22,11,6.1,0.2,0,,0,2,11,2,2.00,0,0,0,0.00,+0.27,0.1,0.5,-0.3,-1.39,-1.40
Shogo Taniguchi,DF,Japan,31-156,1991,2,210,105,53.8,2.3,2,105,2,0,,2,2.00,3,2,+1,+0.43,+0.43,2.7,2.5,+0.2,+0.09,+0.45
Shoja' Khalilzadeh,DF,IR Iran,33-218,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Shuto Machino,FW,Japan,23-079,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Shūichi Gonda,GK,Japan,33-290,1989,4,390,98,100.0,4.3,4,98,4,0,,0,1.75,5,4,+1,+0.23,,5.0,5.7,-0.7,-0.17,-0.17
Silvan Widmer,DF,Switzerland,29-288,1993,3,265,88,73.6,2.9,3,88,2,0,,0,2.00,4,3,+1,+0.34,+5.08,4.4,2.8,+1.6,+0.55,+1.79
Simon Kjær,DF,Denmark,33-267,1989,1,64,64,23.7,0.7,1,64,0,0,,2,1.00,0,0,0,0.00,+0.87,0.3,0.9,-0.5,-0.77,-0.49
Simon Mignolet,GK,Belgium,34-287,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Simon Ngapandouetnbu,GK,Cameroon,19-250,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sofiane Boufal,FW,Morocco,29-092,1993,7,475,68,72.0,5.3,7,68,0,0,,0,1.57,4,4,0,0.00,-0.49,3.3,4.4,-1.1,-0.21,-0.35
Sofyan Amrabat,MF,Morocco,26-119,1996,7,660,94,100.0,7.3,7,94,7,0,,0,1.57,6,5,+1,+0.14,,6.6,7.4,-0.8,-0.12,-0.12
Son Heung-min,FW,Korea Republic,30-163,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,8,-3,-0.75,,4.6,7.1,-2.5,-0.63,
Son Jun-ho,MF,Korea Republic,30-220,1992,3,72,24,20.0,0.8,0,,0,3,24,1,1.33,2,0,+2,+2.50,+4.06,1.0,1.0,0.0,+0.04,+0.83
Song Bumkeun,GK,Korea Republic,25-064,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Song Minkyu,FW,Korea Republic,23-097,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Sorba Thomas,MF,Wales,23-118,1999,1,1,1,0.4,0.0,0,,0,1,1,2,1.00,0,0,0,0.00,+1.67,0.0,0.0,0.0,0.00,+0.63
Srđan Babić,DF,Serbia,26-240,1996,1,13,13,4.8,0.1,0,,0,1,13,2,1.00,0,0,0,0.00,+1.05,0.1,0.1,+0.1,+0.57,+1.98
Stefan Mitrović,DF,Serbia,32-210,1990,1,35,35,13.0,0.4,0,,0,1,35,2,1.00,0,2,-2,-5.14,-4.76,0.5,1.0,-0.6,-1.43,-0.13
Stefan de Vrij,DF,Netherlands,30-316,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
Stephen Eustáquio,MF,Canada,25-362,1996,2,125,63,46.3,1.4,2,63,0,0,,1,0.00,1,3,-2,-1.44,+0.42,2.4,1.4,+1.0,+0.71,+1.11
Steve Mandanda,GK,France,37-265,1985,1,90,90,13.6,1.0,1,90,1,0,,6,0.00,0,1,-1,-1.00,-2.42,0.8,0.5,+0.3,+0.30,-0.24
Steven Berghuis,MF,Netherlands,30-364,1991,4,200,50,41.7,2.2,1,78,0,3,41,1,2.00,2,1,+1,+0.45,-1.16,0.8,2.0,-1.2,-0.66,-0.59
Steven Bergwijn,FW,Netherlands,25-071,1997,4,213,53,44.4,2.4,3,56,0,1,45,1,2.00,2,2,0,0.00,-2.02,1.8,2.5,-0.7,-0.30,-0.05
Steven Vitória,DF,Canada,35-341,1987,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Strahinja Eraković,DF,Serbia,21-330,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Strahinja Pavlović,DF,Serbia,21-208,2001,3,235,78,87.0,2.6,3,78,2,0,,0,0.33,5,6,-1,-0.38,+4.76,2.9,6.3,-3.4,-1.30,+0.13
Sultan Al-Ghanam,DF,Saudi Arabia,28-226,1994,3,126,42,46.7,1.4,1,87,0,2,20,0,1.00,0,3,-3,-2.14,-2.77,0.8,3.4,-2.6,-1.88,-1.63
Szymon Żurkowski,MF,Poland,25-084,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Taha Yassine Khenissi,FW,Tunisia,30-346,1992,2,29,15,10.7,0.3,0,,0,2,15,1,0.50,0,0,0,0.00,0.00,0.4,0.2,+0.2,+0.59,+0.85
Tajon Buchanan,MF,Canada,23-313,1999,3,260,87,96.3,2.9,3,87,2,0,,0,0.00,2,7,-5,-1.73,-1.73,4.1,3.7,+0.4,+0.14,+0.91
Takefusa Kubo,FW,Japan,21-197,2001,2,90,45,23.1,1.0,2,45,0,0,,1,3.00,0,2,-2,-2.00,-2.90,0.2,2.4,-2.2,-2.16,-2.61
Takehiro Tomiyasu,DF,Japan,24-043,1998,3,187,62,47.9,2.1,1,120,1,2,34,1,2.33,3,1,+2,+0.96,+1.41,2.9,3.2,-0.3,-0.17,-0.02
Takuma Asano,FW,Japan,28-038,1994,4,165,41,42.3,1.8,0,,0,4,41,0,1.75,2,1,+1,+0.55,+0.55,2.7,2.3,+0.4,+0.26,+0.63
Takumi Minamino,FW,Japan,27-336,1995,3,60,20,15.4,0.7,0,,0,3,20,1,1.33,2,0,+2,+3.00,+3.27,0.9,0.8,+0.1,+0.30,+0.49
Tarek Salman,DF,Qatar,25-013,1997,1,8,8,3.0,0.1,0,,0,1,8,2,0.00,0,1,-1,-11.25,-9.53,0.2,0.2,0.0,-0.50,+0.22
Tariq Lamptey,DF,Ghana,22-079,2000,2,102,51,37.8,1.1,1,77,0,1,25,1,1.50,5,4,+1,+0.88,+2.49,2.5,1.9,+0.6,+0.52,+1.60
Teun Koopmeiners,MF,Netherlands,24-293,1998,5,219,44,45.6,2.4,1,78,0,4,35,0,2.20,6,3,+3,+1.23,+0.20,2.1,4.2,-2.1,-0.99,-1.17
Theo Hernández,DF,France,25-073,1997,6,508,85,77.0,5.6,5,86,4,1,78,1,2.67,13,5,+8,+1.42,+1.42,10.9,7.7,+3.2,+0.56,+0.25
Thiago Almada,MF,Argentina,21-236,2001,1,7,7,1.0,0.1,0,,0,1,7,6,3.00,0,0,0,0.00,-0.92,0.5,0.0,+0.5,+6.09,+4.76
Thiago Silva,DF,Brazil,38-087,1984,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49
Thibaut Courtois,GK,Belgium,30-221,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Thilo Kehrer,DF,Germany,26-088,1996,1,69,69,25.6,0.8,1,69,0,0,,2,1.00,0,1,-1,-1.30,-2.20,0.3,0.6,-0.4,-0.46,-3.60
Thomas Delaney,MF,Denmark,31-106,1991,1,44,44,16.3,0.5,1,44,0,0,,0,1.00,0,0,0,0.00,+0.80,0.2,0.7,-0.5,-1.10,-0.85
Thomas Deng,DF,Australia,25-273,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Thomas Meunier,DF,Belgium,31-097,1991,3,211,70,78.1,2.3,2,83,0,1,45,0,1.33,0,1,-1,-0.43,-0.43,3.8,2.2,+1.6,+0.69,+2.90
Thomas Müller,FW,Germany,33-096,1989,3,201,67,74.4,2.2,3,67,0,0,,0,1.33,2,2,0,0.00,-1.30,4.5,1.8,+2.7,+1.24,-3.79
Thomas Partey,MF,Ghana,29-188,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,
Thorgan Hazard,FW,Belgium,29-264,1993,2,106,53,39.3,1.2,1,74,0,1,32,1,0.50,0,1,-1,-0.85,-0.85,2.9,1.2,+1.7,+1.45,+2.31
Tim Ream,DF,United States,35-074,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,
Timothy Castagne,DF,Belgium,27-013,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Timothy Weah,FW,United States,22-299,2000,4,316,79,87.8,3.5,4,79,0,0,,0,1.25,2,3,-1,-0.28,-0.28,3.4,2.6,+0.8,+0.23,+2.51
Toby Alderweireld,DF,Belgium,33-291,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Tom Lockyer,DF,Wales,28-015,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Trent Alexander-Arnold,DF,England,24-072,1998,1,34,34,7.6,0.4,0,,0,1,34,4,3.00,1,0,+1,+2.65,+0.92,1.2,0.2,+1.0,+2.58,+1.80
Tyler Adams,MF,United States,23-307,1999,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,3,4,-1,-0.25,,4.1,4.4,-0.3,-0.07,
Tyrell Malacia,DF,Netherlands,23-123,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,
Unai Simón,GK,Spain,25-190,1997,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68
Uriel Antuna,FW,Mexico,25-119,1997,3,77,26,28.5,0.9,0,,0,3,26,0,1.33,2,2,0,0.00,+0.47,1.4,1.1,+0.2,+0.29,-0.02
Uroš Račić,MF,Serbia,24-276,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Vahid Amiri,FW,IR Iran,34-260,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Vanja Milinković-Savić,GK,Serbia,25-301,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,5,8,-3,-1.00,,3.4,7.3,-3.9,-1.32,
Victor Nelsson,DF,Denmark,24-065,1998,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,2,-1,-1.00,-0.50,0.6,2.4,-1.8,-1.76,-2.04
Vincent Aboubakar,FW,Cameroon,30-330,1992,3,142,47,52.6,1.6,1,89,0,2,27,0,1.33,3,0,+3,+1.90,+4.01,1.5,2.4,-0.9,-0.55,+0.49
Vincent Janssen,FW,Netherlands,28-186,1994,2,86,43,17.9,1.0,1,61,0,1,25,3,3.00,0,0,0,0.00,-1.37,0.4,0.4,0.0,+0.02,+0.36
Vinicius Júnior,FW,Brazil,22-159,2000,4,299,75,62.3,3.3,4,75,1,0,,1,2.50,7,0,+7,+2.11,+3.10,6.9,1.1,+5.7,+1.73,-0.35
Virgil van Dijk,DF,Netherlands,31-163,1991,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29
Vitinha,MF,Portugal,22-308,2000,3,120,40,26.7,1.3,1,81,0,2,20,2,1.00,2,1,+1,+0.75,-0.61,1.8,1.7,0.0,+0.03,-0.30
Wahbi Khazri,FW,Tunisia,31-313,1991,2,83,42,30.7,0.9,1,59,0,1,24,1,1.50,1,0,+1,+1.08,+1.57,1.0,0.2,+0.7,+0.81,+1.41
Wajdi Kechrida,DF,Tunisia,27-043,1995,3,111,37,41.1,1.2,1,90,1,2,11,0,1.33,1,0,+1,+0.81,+1.38,0.9,1.0,-0.1,-0.09,+0.13
Walid Cheddira,FW,Morocco,24-330,1998,2,64,32,9.7,0.7,0,,0,2,32,4,2.00,0,0,0,0.00,-0.15,0.5,0.9,-0.4,-1.12,-1.06
Walker Zimmerman,DF,United States,29-213,1993,4,279,70,77.5,3.1,3,90,3,1,9,0,1.25,2,4,-2,-0.65,-1.76,3.0,4.1,-1.1,-0.37,-1.30
Wataru Endo,MF,Japan,29-312,1993,4,304,76,77.9,3.4,3,100,3,1,4,0,1.75,3,3,0,0.00,-1.05,3.5,4.8,-1.3,-0.43,-0.92
Wayne Hennessey,GK,Wales,35-328,1987,2,175,88,64.8,1.9,2,88,1,0,,0,0.50,1,1,0,0.00,+4.74,2.3,1.7,+0.6,+0.30,+2.62
Weston McKennie,MF,United States,24-112,1998,4,271,68,75.3,3.0,4,68,0,0,,0,1.25,2,2,0,0.00,+1.01,3.2,1.8,+1.4,+0.46,+2.17
William Carvalho,MF,Portugal,30-255,1992,4,215,54,47.8,2.4,2,86,1,2,22,1,2.25,10,4,+6,+2.51,+2.51,4.0,4.0,-0.1,-0.02,-0.53
William Pacho,DF,Ecuador,21-063,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
William Saliba,DF,France,21-269,2001,1,28,28,4.2,0.3,0,,0,1,28,6,0.00,0,0,0,0.00,-1.14,0.6,0.0,+0.6,+1.93,+1.49
Wojciech Szczęsny,GK,Poland,32-244,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,3,5,-2,-0.50,,4.5,7.3,-2.7,-0.69,
Wout Faes,DF,Belgium,24-259,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Wout Weghorst,FW,Netherlands,30-133,1992,4,64,16,13.3,0.7,0,,0,4,16,1,2.00,2,0,+2,+2.81,+1.95,0.5,0.6,-0.1,-0.40,-0.13
Wéverton,GK,Brazil,35-005,1987,1,11,11,2.3,0.1,0,,0,1,11,4,3.00,0,0,0,0.00,-0.96,0.3,0.1,+0.2,+1.71,-0.16
Xavi Simons,FW,Netherlands,19-241,2003,1,9,9,1.9,0.1,0,,0,1,9,4,3.00,0,0,0,0.00,-1.15,0.0,0.2,-0.2,-2.00,-1.75
Xavier Arreaga,DF,Ecuador,28-081,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Xherdan Shaqiri,FW,Switzerland,31-069,1991,3,229,76,63.6,2.5,3,76,1,0,,1,2.00,5,8,-3,-1.18,-0.49,4.8,4.2,+0.7,+0.27,+0.52
Yahya Attiat Allah,DF,Morocco,27-291,1995,6,318,53,48.2,3.5,2,90,2,4,35,1,1.33,4,3,+1,+0.28,+0.28,5.1,3.2,+1.9,+0.60,+1.27
Yahya Jabrane,MF,Morocco,31-183,1991,2,15,8,2.3,0.2,0,,0,2,8,5,3.00,0,0,0,0.00,-0.14,,,,,
Yann Sommer,GK,Switzerland,34-001,1988,3,270,90,75.0,3.0,3,90,3,0,,0,1.00,2,7,-5,-1.67,-2.67,3.0,4.0,-1.1,-0.35,-1.73
Yannick Carrasco,FW,Belgium,29-105,1993,2,116,58,43.0,1.3,2,58,0,0,,1,2.00,1,0,+1,+0.78,+1.94,2.4,2.5,-0.1,-0.06,-0.20
Yasser Al-Shahrani,DF,Saudi Arabia,30-207,1992,1,89,89,33.0,1.0,1,89,0,0,,0,3.00,2,1,+1,+1.01,+2.50,0.1,2.1,-2.0,-2.00,-1.48
Yassine Bounou,GK,Morocco,31-257,1991,6,570,95,86.4,6.3,6,95,6,0,,1,1.33,4,5,-1,-0.16,-2.16,5.1,6.5,-1.3,-0.22,-0.62
Yassine Meriah,DF,Tunisia,29-169,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Yeltsin Tejeda,MF,Costa Rica,30-276,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,9.6,-8.2,-2.74,+43.87
Yeremi Pino,FW,Spain,20-059,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Yoon Jong-gyu,DF,Korea Republic,24-273,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Youri Tielemans,MF,Belgium,25-225,1997,3,95,32,35.2,1.1,1,45,0,2,25,0,1.33,1,2,-1,-0.95,-0.95,1.6,3.2,-1.6,-1.48,-2.37
Yousef Hassan,GK,Qatar,26-208,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Youssef En-Nesyri,FW,Morocco,25-200,1997,7,542,77,82.1,6.0,7,77,2,0,,0,1.57,4,4,0,0.00,-0.76,3.7,5.4,-1.7,-0.28,-0.94
Youssef Msakni,MF,Tunisia,32-051,1990,2,169,85,62.6,1.9,2,85,1,0,,1,0.50,0,1,-1,-0.53,-1.42,1.8,1.8,0.0,-0.01,+0.41
Youssouf Fofana,MF,France,23-342,1999,6,227,38,34.4,2.5,2,81,1,4,16,1,2.17,5,3,+2,+0.79,-0.45,4.0,3.8,+0.1,+0.05,-0.65
Youssouf Sabaly,DF,Senegal,29-288,1993,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.6,3.5,+1.0,+0.26,
Youssoufa Moukoko,FW,Germany,18-028,2004,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,-0.33,0.3,0.0,+0.3,+24.08,+21.94
Youstin Salas,DF,Costa Rica,26-184,1996,2,47,24,17.4,0.5,0,,0,2,24,1,1.50,2,3,-1,-1.91,+0.91,1.1,4.4,-3.3,-6.30,-4.12
Yuki Soma,FW,Japan,25-296,1997,1,81,81,20.8,0.9,1,81,0,0,,3,0.00,0,1,-1,-1.11,-1.69,0.7,0.1,+0.6,+0.63,+0.98
Yunus Musah,MF,United States,20-019,2002,4,343,86,95.3,3.8,4,86,3,0,,0,1.25,3,3,0,0.00,+5.29,3.9,3.5,+0.5,+0.12,+4.33
Yussuf Poulsen,FW,Denmark,28-186,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Yuto Nagatomo,MF,Japan,36-097,1986,4,209,52,53.6,2.3,4,52,0,0,,0,1.75,1,3,-2,-0.86,-2.35,1.3,3.4,-2.1,-0.89,-1.59
Zakaria Aboukhlal,FW,Morocco,22-303,2000,4,79,20,12.0,0.9,0,,0,4,20,3,2.25,2,1,+1,+1.14,+1.14,2.4,2.0,+0.4,+0.50,+0.69
Zeno Debast,DF,Belgium,19-055,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Álvaro Morata,FW,Spain,30-056,1992,4,185,46,47.4,2.1,1,56,0,3,43,0,1.25,5,3,+2,+0.97,-0.78,2.8,2.8,0.0,+0.01,-1.03
Álvaro Zamora,MF,Costa Rica,20-284,2002,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37
Ángel Correa,MF,Argentina,27-284,1995,1,5,5,0.7,0.1,0,,0,1,5,6,3.00,0,0,0,0.00,-0.92,0.0,0.1,-0.1,-1.78,-3.18
Ángel Di María,MF,Argentina,34-307,1988,5,288,58,41.7,3.2,4,70,1,1,9,2,1.60,5,2,+3,+0.94,+0.04,6.8,0.8,+6.0,+1.92,+0.91
Ángel Mena,FW,Ecuador,34-331,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ángelo Preciado,DF,Ecuador,24-303,1998,3,264,88,97.8,2.9,3,88,2,0,,0,1.33,4,3,+1,+0.34,+0.34,3.6,2.5,+1.1,+0.37,-0.79
Éder Militão,DF,Brazil,24-334,1998,4,347,87,72.3,3.9,4,87,2,0,,1,1.75,6,1,+5,+1.30,+1.30,9.1,1.5,+7.5,+1.95,+0.34
Óscar Duarte,DF,Costa Rica,33-198,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,11,-8,-2.67,,1.4,10.1,-8.7,-2.90,
İlkay Gündoğan,MF,Germany,32-055,1990,3,189,63,70.0,2.1,3,63,0,0,,0,1.33,2,1,+1,+0.48,+0.48,3.6,1.3,+2.3,+1.10,-3.74
Łukasz Skorupski,GK,Poland,31-227,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
